DES_SUBGER,DES_REGION,COD_SUC,MAYORISTA,PRODUCTO,CODACTIVOR3,BARRA,DESCGRUPO,SUBGRUPOPROD,DESCMARCAACT,CAPACIDAD,SERIE,SERIEANT,IZQ,FECHAALTA,ANIOALTA,DESCMARCA,DESCSITUACION,CLIENTEESTADO
Provincias,06 Centro,CIC,0017483 San Ignacio Ica - Ica,008609 Visicooler 126 Vert. Jr - 6 cj,000000000400107070,0010095844,Frios,Visicooler,Fogel,6,110814115,F12-V-126-V1,F12,13/09/2011,2011,Cristal,Disponible,Activo
Provincias,06 Centro,CIC,0017483 San Ignacio Ica - Ica,008513 Visifroster 192 Vert. - 7 cj,000000000400111391,0010098228,Frios,Visifroster,Fogel,7,110914470,F12-FROSTER-192-CFPV,F12,4/11/2011,2011,Cristal,Disponible,Activo
Provincias,06 Centro,CIC,0017483 San Ignacio Ica - Ica,008513 Visifroster 192 Vert. - 7 cj,000000000400070452,0010092954,Frios,Visifroster,Fogel,7,101114406,F11-192-CF-PV-V1,F11,4/11/2010,2010,Cristal,Disponible,Activo
Provincias,06 Centro,CIC,0017483 San Ignacio Ica - Ica,008512 Visicooler 192 Vert. - 7 cj,000000000400114607,0010101782,Frios,Visicooler,Fogel,7,111014077,F12-V-192-V1,F12,23/12/2011,2011,Cusqueña,Disponible,Activo
Provincias,06 Centro,CIC,0017483 San Ignacio Ica - Ica,008512 Visicooler 192 Vert. - 7 cj,000000000400114611,0010101781,Frios,Visicooler,Fogel,7,111014017,F12-V-192-V1,F12,23/12/2011,2011,Cusqueña,Disponible,Activo
Provincias,06 Centro,CIC,0017483 San Ignacio Ica - Ica,008512 Visicooler 192 Vert. - 7 cj,000000000400113711,0010100169,Frios,Visicooler,Fogel,7,111011620,F12-V-192-V1,F12,3/12/2011,2011,Cristal,Disponible,Activo
Provincias,06 Centro,CIC,0017483 San Ignacio Ica - Ica,008511 Froster 192 Vert. - 7 cj,000000000400067650,0010090205,Frios,Froster,Fogel,7,100911745,F11-192-CF-VT-V1,F11,4/11/2010,2010,Pilsen Callao,Disponible,Activo
Provincias,06 Centro,CIC,0017483 San Ignacio Ica - Ica,008136 FROSTER 126 VT,000000000400071671,0010093835,Frios,Froster,Fogel,6,101015708,F11-V-192-V1,F11,4/11/2010,2010,Cristal,Disponible,Activo
Provincias,06 Centro,CIC,0017483 San Ignacio Ica - Ica,008136 FROSTER 126 VT,000000000400015094,0010082921,Frios,Froster,Fogel,6,081012400,F9-126-CF-VT-V1,F9-,23/01/2009,2009,Cusqueña,Disponible,Activo
Provincias,06 Centro,CIC,0017483 San Ignacio Ica - Ica,008136 FROSTER 126 VT,000000000400015031,0010082823,Frios,Froster,Fogel,6,081012411,F9-126-CF-VT-V1,F9-,22/01/2009,2009,Cusqueña,Disponible,Activo
Provincias,06 Centro,CIC,0017483 San Ignacio Ica - Ica,007746 Froster 280 VT,000000000400021925,0010087629,Frios,Froster,Fogel,12,091013519,F10-280-CF-VT-V1,F10,21/12/2009,2009,Cusqueña,Disponible,Activo
